wednes_date	00	10	20	30	40	50	60	70	80	Total
2020-10-21	0.10427528675703858	0.0	0.0	0.027707226968367586	0.030475416497358798	0.24428797240982897	1.2548425130537308	5.235001910584639	17.806853582554517	1.6554315572184235
2020-10-28	0.07401924500370095	0.0	0.0	0.022315024387133797	0.0244081034903588	0.18061804210042365	0.9642193308550185	4.195070791819612	14.875737529054176	1.323531047369065
2020-11-04	0.056338028169014086	0.0	0.0	0.01750087504375219	0.018779342723004695	0.158571830481598	0.9026085386767758	4.0913415794481445	14.270869414617248	1.2722337897329565
2020-11-11	0.04568296025582458	0.0	0.0	0.015033395614543737	0.020598736610821202	0.14870864040938614	0.8468052347959968	4.234244670991659	14.424062891648626	1.318556240045233
2020-11-18	0.03894080996884735	0.0	0.0	0.013601212450938484	0.022694918401452477	0.13793375238920963	0.8670921198668146	4.50262870230597	14.866544062826184	1.3950317581723255
2020-11-25	0.0351493848857645	0.0	0.0	0.01254030813328556	0.022899889317201633	0.14170224361885728	0.9266656015337913	4.762817441303306	15.152183502426114	1.4735888940894308
2020-12-02	0.031826861871419476	0.0	0.0	0.01160112033676395	0.024748974685334466	0.1375631196631381	0.9636702237725029	4.881178917555427	15.335173501577287	1.5309378194159735
2020-12-09	0.028121484814398204	0.0	0.0	0.01073817266981653	0.027758727670552888	0.14722519255505448	0.9897490279250619	4.901682546117981	15.334017045655479	1.5693736561798806
2020-12-16	0.025201612903225805	0.0	0.0	0.010003572704537333	0.027340249403830674	0.15105305558752447	0.988505168901074	4.986659652023599	15.551397044589274	1.6136093715607092
2020-12-23	0.046959380136182206	0.0	0.0013120948907024957	0.009461505190311418	0.027294928889527368	0.15481978433875657	1.0088361763455087	5.12567419889308	15.835449159714665	1.6606153170785243
2020-12-30	0.044762757385854966	0.0	0.0037458327610533277	0.010265096106962301	0.028659551819199172	0.1532083633741889	1.0345675150269256	5.220413756224725	16.06628447562819	1.6952978328576545
2021-01-06	0.04219409282700422	0.0	0.0035699410959719167	0.009806084675541175	0.027431258572268306	0.15988783253594402	1.0349177839074561	5.223499361430396	16.191487623560167	1.704816157431383
2021-01-13	0.04012841091492777	0.0	0.003460327346967023	0.00951746454744456	0.02663386051466765	0.165890917770617	1.0442452104091693	5.2641363284275755	16.40168465385628	1.728230918161588
