geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
GL,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,81,50,31,NA,NA,40851,0,198.28,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,-2,-4.9,-100,NA
GR,202141,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,197,160,37,1,100,200096,1,98.45,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,0,0
JU,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,66,56,10,NA,NA,73709,0,89.54,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,-1,-1.36,-100,NA
LU,202141,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,360,279,81,1,100,416347,1.44,86.47,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,1,0.24,20,0
NE,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,358,294,64,NA,NA,175894,0,203.53,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,NA,NA
NW,202141,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26,17,9,1,100,43520,6.89,59.74,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,3,6.89,NA,NA
OW,202141,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,41,32,9,1,100,38108,7.87,107.59,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,3,7.87,NA,NA
SG,202141,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,747,645,102,1,100,514504,0.39,145.19,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,1,0.2,100,0
SH,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,73,55,18,NA,NA,83107,0,87.84,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,NA,NA
SO,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,284,244,40,NA,NA,277462,0,102.36,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,NA,NA
SZ,202141,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,227,186,41,1,100,162157,0.62,139.99,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,1,0.62,NA,NA
TG,202141,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,457,354,103,1,100,282909,0.35,161.54,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,0,0
TI,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,892,808,84,NA,NA,350986,0,254.14,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,NA,NA
UR,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,53,37,16,NA,NA,36819,0,143.95,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,-1,-2.72,-100,NA
VD,202141,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1033,872,161,1,100,814762,0.12,126.79,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,1,0.12,NA,NA
VS,202141,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,678,582,96,1,100,348503,0.29,194.55,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,1,0.29,NA,NA
ZG,202141,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,104,81,23,1,100,128794,0.78,80.75,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,1,0.78,NA,NA
ZH,202141,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1463,1126,337,1,100,1553423,0.32,94.18,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,1,0.06,25,0
AG,202142,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,701,559,142,1,100,694072,0.14,101,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,0,0,0,0
AI,202142,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,18,15,3,1,100,16293,6.14,110.48,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,1,6.14,NA,NA
AR,202142,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,65,55,10,NA,NA,55309,0,117.52,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,0,0,NA,NA
BE,202142,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1170,927,243,1,100,1043132,0.38,112.16,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,1,0.09,33.3,0
BL,202142,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,229,198,31,NA,NA,290969,0,78.7,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,-1,-0.34,-100,NA
BS,202142,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,220,189,31,NA,NA,196735,0,111.83,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,0,0,NA,NA
FL,202142,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,58,53,5,NA,NA,39055,0,148.51,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,0,0,NA,NA
FR,202142,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,459,414,45,1,100,325496,0.31,141.02,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,1,0.31,NA,NA
GE,202142,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,759,702,57,1,100,506343,0.2,149.9,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,1,0.2,NA,NA
GL,202142,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,81,50,31,NA,NA,40851,0,198.28,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,0,0,NA,NA
GR,202142,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,198,160,38,1,100,200096,0.5,98.95,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,-1,-0.5,-50,0
JU,202142,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,66,56,10,NA,NA,73709,0,89.54,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,0,0,NA,NA
LU,202142,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,362,279,83,1,100,416347,0.48,86.95,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,-4,-0.96,-66.7,0
NE,202142,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,359,294,65,1,100,175894,0.57,204.1,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,1,0.57,NA,NA
NW,202142,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26,17,9,NA,NA,43520,0,59.74,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,-3,-6.89,-100,NA
OW,202142,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,45,32,13,1,100,38108,10.5,118.09,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,1,2.63,33.3,0
SG,202142,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,752,645,107,1,100,514504,0.97,146.16,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,3,0.58,150,0
