sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
female,NE,202112,127,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,8216,7055,1161,0.51,51,89710,141.57,9158.4,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,8,8.92,6.7,0.10000000000000142
female,NW,202112,31,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1129,928,201,0.492,49.2,21222,146.07,5319.95,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,10,47.12,47.6,-2
female,OW,202112,27,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1010,841,169,0.54,54,18840,143.31,5360.93,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,13,69,92.9,14
female,SG,202112,339,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,18995,16722,2273,0.474,47.4,256396,132.22,7408.46,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,92,35.88,37.2,-1.2999999999999972
female,SH,202112,39,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2061,1831,230,0.476,47.599999999999994,41945,92.98,4913.58,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,9,21.46,30,0
female,SO,202112,183,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,7662,6490,1172,0.5,50,138836,131.81,5518.74,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,34,24.49,22.8,4.299999999999997
female,SZ,202112,80,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5152,4579,573,0.479,47.9,79048,101.2,6517.56,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,17,21.5,27,-1.3000000000000043
female,TG,202112,173,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,8284,7153,1131,0.491,49.1,140382,123.24,5901.04,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,37,26.36,27.2,-1.7999999999999972
female,TI,202112,307,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,15688,14005,1683,0.496,49.6,180156,170.41,8708.01,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,55,30.53,21.8,-0.6000000000000014
female,UR,202112,62,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1065,870,195,0.564,56.39999999999999,18051,343.47,5899.95,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,33,182.81,113.8,17.19999999999999
