geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH04,202116,117,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4180,3105,1075,1,100,1553423,7.53,269.08,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-16,-1,-0.07,-0.8,0
CH05,202116,64,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3548,2885,663,1,100,1193069,5.36,297.38,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-16,6,0.5,10.3,0
CH06,202116,38,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1919,1500,419,1,100,825745,4.6,232.4,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-16,-9,-1.09,-19.1,0
CH07,202116,42,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3120,2686,434,1,100,350986,11.97,888.92,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-16,-2,-0.57,-4.5,0
CH01,202117,90,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5946,4687,1259,1,100,1669608,5.39,356.13,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-17,-5,-0.3,-5.3,0
CH02,202117,87,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6268,5124,1144,1,100,1895693,4.59,330.64,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-17,7,0.37,8.7,0
CH03,202117,56,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3269,2601,668,1,100,1181776,4.74,276.62,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-17,5,0.42,9.8,0
CH04,202117,108,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4288,3105,1183,1,100,1553423,6.95,276.04,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-17,-9,-0.58,-7.7,0
CH05,202117,57,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3605,2885,720,1,100,1193069,4.78,302.16,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-17,-7,-0.58,-10.9,0
CH06,202117,38,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1957,1500,457,1,100,825745,4.6,237,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-17,0,0,0,0
CH07,202117,25,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3145,2686,459,1,100,350986,7.12,896.05,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-17,-17,-4.85,-40.5,0
CH01,202118,55,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6001,4687,1314,1,100,1669608,3.29,359.43,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-18,-35,-2.1,-38.9,0
CH02,202118,63,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6331,5124,1207,1,100,1895693,3.32,333.97,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-18,-24,-1.27,-27.6,0
CH03,202118,55,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3324,2601,723,1,100,1181776,4.65,281.27,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-18,-1,-0.09,-1.8,0
CH04,202118,66,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4354,3105,1249,1,100,1553423,4.25,280.28,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-18,-42,-2.7,-38.9,0
CH05,202118,47,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3652,2885,767,1,100,1193069,3.94,306.1,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-18,-10,-0.84,-17.5,0
CH06,202118,36,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1993,1500,493,1,100,825745,4.36,241.36,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-18,-2,-0.24,-5.3,0
CH07,202118,14,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3159,2686,473,1,100,350986,3.99,900.04,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-18,-11,-3.13,-44,0
CH01,202119,50,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6051,4687,1364,1,100,1669608,2.99,362.42,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-19,-5,-0.3,-9.1,0
CH02,202119,36,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6367,5124,1243,1,100,1895693,1.9,335.87,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-19,-27,-1.42,-42.9,0
CH03,202119,34,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3358,2601,757,1,100,1181776,2.88,284.15,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-19,-21,-1.77,-38.2,0
CH04,202119,53,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4407,3105,1302,1,100,1553423,3.41,283.7,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-19,-13,-0.84,-19.7,0
CH05,202119,30,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3682,2885,797,1,100,1193069,2.51,308.62,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-19,-17,-1.43,-36.2,0
CH06,202119,28,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2021,1500,521,1,100,825745,3.39,244.75,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-19,-8,-0.97,-22.2,0
CH07,202119,6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3165,2686,479,1,100,350986,1.71,901.75,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-19,-8,-2.28,-57.1,0
CH01,202120,39,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6090,4687,1403,1,100,1669608,2.34,364.76,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-20,-11,-0.65,-22,0
CH02,202120,62,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6429,5124,1305,1,100,1895693,3.27,339.14,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-20,26,1.37,72.2,0
CH03,202120,22,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3380,2601,779,1,100,1181776,1.86,286.01,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-20,-12,-1.02,-35.3,0
CH04,202120,50,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4457,3105,1352,1,100,1553423,3.22,286.91,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-20,-3,-0.19,-5.7,0
