date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202112,male,fully_vaccinated,4,23,235199,1.7,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202112,male,partially_vaccinated,2,33,160268,1.25,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202112,male,not_vaccinated,125,636,3926500,3.18,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202112,male,unknown,126,1068,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202112,unknown,fully_vaccinated,0,0,68,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202112,unknown,partially_vaccinated,0,0,83,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202112,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202112,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,female,fully_vaccinated,4,23,349191,1.15,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,female,partially_vaccinated,1,29,217963,0.46,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,female,not_vaccinated,92,607,3820234,2.41,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,female,unknown,132,1053,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,male,fully_vaccinated,10,33,264934,3.77,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,male,partially_vaccinated,9,42,180083,5,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,male,not_vaccinated,142,778,3876950,3.66,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,male,unknown,157,1225,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,unknown,fully_vaccinated,0,0,73,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,unknown,partially_vaccinated,0,0,94,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202113,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202114,female,fully_vaccinated,6,29,398070,1.51,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202114,female,partially_vaccinated,8,37,235592,3.4,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202114,female,not_vaccinated,90,697,3753726,2.4,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202114,female,unknown,107,1160,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202114,male,fully_vaccinated,9,42,303757,2.96,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202114,male,partially_vaccinated,7,49,199045,3.52,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202114,male,not_vaccinated,124,902,3819165,3.25,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
