date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202105,80+,partially_vaccinated,11,18,123460,8.91,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,80+,not_vaccinated,38,70,316273,12.01,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,80+,unknown,71,147,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,Unbekannt,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,Unbekannt,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,Unbekannt,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,Unbekannt,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,0 - 9,fully_vaccinated,0,0,14,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,0 - 9,partially_vaccinated,0,0,15,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,0 - 9,not_vaccinated,0,0,880558,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,0 - 9,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,10 - 19,fully_vaccinated,0,0,428,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,10 - 19,partially_vaccinated,0,0,1233,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,10 - 19,not_vaccinated,0,0,851714,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,10 - 19,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,20 - 29,fully_vaccinated,0,0,3777,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,20 - 29,partially_vaccinated,0,0,8160,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,20 - 29,not_vaccinated,0,0,1030680,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,20 - 29,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,30 - 39,fully_vaccinated,0,0,5822,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,30 - 39,partially_vaccinated,0,0,12945,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,30 - 39,not_vaccinated,0,0,1229473,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,30 - 39,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,40 - 49,fully_vaccinated,0,0,7680,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
