date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-05-02,moderna,fully_vaccinated,0,30,499491,0,NA,0.57,0.11,0,15.08,15.48,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-03,moderna,fully_vaccinated,0,30,504571,0,NA,0.43,0.09,0,14.71,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-04,moderna,fully_vaccinated,0,30,516572,0,NA,0.29,0.06,0,14.49,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-05,moderna,fully_vaccinated,2,32,530900,0.38,NA,0.29,0.05,50,15.17,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-06,moderna,fully_vaccinated,0,32,549284,0,NA,0.29,0.05,0,14.88,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-07,moderna,fully_vaccinated,0,32,567569,0,NA,0.29,0.05,0,14.81,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-08,moderna,fully_vaccinated,0,32,574305,0,NA,0.43,0.07,0,14.68,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-09,moderna,fully_vaccinated,0,32,576337,0,NA,0.14,0.02,0,14.41,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-10,moderna,fully_vaccinated,0,32,591711,0,NA,0.29,0.05,0,14.35,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-11,moderna,fully_vaccinated,1,33,611462,0.16,NA,0.29,0.05,33.33,14.6,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-12,moderna,fully_vaccinated,0,33,632262,0,NA,0.29,0.05,0,14.41,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-13,moderna,fully_vaccinated,1,34,639075,0.16,NA,0.43,0.07,50,14.72,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-14,moderna,fully_vaccinated,0,34,658907,0,NA,0.57,0.09,0,14.53,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-15,moderna,fully_vaccinated,0,34,668148,0,NA,0.57,0.09,NA,14.53,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-16,moderna,fully_vaccinated,1,35,669962,0.15,NA,0.86,0.13,100,14.89,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-17,moderna,fully_vaccinated,1,36,690068,0.14,NA,0.71,0.1,20,15,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-18,moderna,fully_vaccinated,1,37,714476,0.14,NA,0.71,0.1,16.67,15.04,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-19,moderna,fully_vaccinated,2,39,738096,0.27,NA,0.71,0.1,100,15.73,33.81,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-20,moderna,fully_vaccinated,0,39,767305,0,NA,0.71,0.09,0,15.66,33.81,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-21,moderna,fully_vaccinated,0,39,792357,0,NA,0.57,0.07,0,15.48,30.95,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-22,moderna,fully_vaccinated,0,39,803992,0,NA,0.57,0.07,0,15.42,33.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-23,moderna,fully_vaccinated,1,40,808495,0.12,NA,0.29,0.04,100,15.75,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-24,moderna,fully_vaccinated,0,40,817198,0,NA,0.43,0.05,0,15.62,22.62,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-25,moderna,fully_vaccinated,1,41,842568,0.12,NA,0.43,0.05,33.33,15.83,22.62,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-26,moderna,fully_vaccinated,0,41,869049,0,NA,0.57,0.07,0,15.77,36.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-27,moderna,fully_vaccinated,1,42,897925,0.11,NA,0.43,0.05,25,15.91,22.62,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-28,moderna,fully_vaccinated,0,42,928656,0,NA,0.57,0.06,0,15.73,27.38,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-29,moderna,fully_vaccinated,1,43,944899,0.11,NA,0.43,0.05,100,16.04,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-30,moderna,fully_vaccinated,0,43,950878,0,NA,0.43,0.05,0,15.93,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-31,moderna,fully_vaccinated,1,44,974782,0.1,NA,0.29,0.03,33.33,16.12,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-01,moderna,fully_vaccinated,0,44,1003807,0,NA,0.43,0.04,NA,16.12,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-02,moderna,fully_vaccinated,0,44,1036717,0,NA,0.29,0.03,0,16.06,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-03,moderna,fully_vaccinated,0,44,1069011,0,NA,0.29,0.03,0,16,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-04,moderna,fully_vaccinated,1,45,1107253,0.09,NA,0.14,0.01,33.33,16.19,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-05,moderna,fully_vaccinated,0,45,1125915,0,NA,0.14,0.01,0,16.07,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-06,moderna,fully_vaccinated,0,45,1133986,0,NA,0.29,0.03,0,16.01,9.52,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-07,moderna,fully_vaccinated,0,45,1169049,0,NA,0.29,0.02,0,15.96,9.52,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-08,moderna,fully_vaccinated,0,45,1209760,0,NA,0.14,0.01,0,15.85,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-09,moderna,fully_vaccinated,1,46,1248932,0.08,NA,0.29,0.02,33.33,16.03,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-10,moderna,fully_vaccinated,0,46,1280856,0,NA,0.29,0.02,0,15.97,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-11,moderna,fully_vaccinated,0,46,1316971,0,NA,0.43,0.03,NA,15.97,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-12,moderna,fully_vaccinated,1,47,1337739,0.07,NA,0.57,0.04,100,16.26,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-13,moderna,fully_vaccinated,0,47,1347898,0,NA,0.43,0.03,0,16.15,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-14,moderna,fully_vaccinated,1,48,1382075,0.07,NA,0.43,0.03,50,16.38,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-15,moderna,fully_vaccinated,1,49,1423498,0.07,NA,0.43,0.03,100,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-16,moderna,fully_vaccinated,0,49,1468467,0,NA,0.29,0.02,NA,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-17,moderna,fully_vaccinated,0,49,1515986,0,NA,0.29,0.02,NA,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-18,moderna,fully_vaccinated,0,49,1561887,0,NA,0.14,0.01,NA,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-19,moderna,fully_vaccinated,0,49,1583925,0,NA,0,0,NA,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-20,moderna,fully_vaccinated,0,49,1592799,0,NA,0,0,NA,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-21,moderna,fully_vaccinated,0,49,1629400,0,NA,0,0,0,16.61,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-22,moderna,fully_vaccinated,0,49,1674091,0,NA,0,0,0,16.55,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-23,moderna,fully_vaccinated,0,49,1720058,0,NA,0,0,NA,16.55,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-24,moderna,fully_vaccinated,0,49,1767588,0,NA,0,0,0,16.5,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-25,moderna,fully_vaccinated,0,49,1812003,0,NA,0,0,0,16.44,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-26,moderna,fully_vaccinated,0,49,1834974,0,NA,0,0,NA,16.44,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-27,moderna,fully_vaccinated,0,49,1844832,0,NA,0,0,NA,16.44,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-06-28,moderna,fully_vaccinated,0,49,1887761,0,NA,0,0,NA,16.44,NA,CHFL,COVID19Hosp,vaccine,intermediate,2021-11-03_07-53-32
