date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202112,female,unknown,10,230,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,male,fully_vaccinated,1,4,235199,0.43,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,male,partially_vaccinated,4,28,160268,2.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,male,not_vaccinated,16,188,3926500,0.41,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,male,unknown,14,246,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,unknown,fully_vaccinated,0,0,68,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,unknown,partially_vaccinated,0,0,83,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,female,fully_vaccinated,0,6,349191,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,female,partially_vaccinated,1,31,217963,0.46,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,female,not_vaccinated,20,162,3820234,0.52,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,female,unknown,12,242,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,male,fully_vaccinated,1,5,264934,0.38,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,male,partially_vaccinated,3,31,180083,1.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,male,not_vaccinated,21,209,3876950,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,male,unknown,13,259,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,unknown,fully_vaccinated,0,0,73,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,unknown,partially_vaccinated,0,0,94,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202113,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,female,fully_vaccinated,2,8,398070,0.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,female,partially_vaccinated,1,32,235592,0.42,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,female,not_vaccinated,11,173,3753726,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,female,unknown,8,250,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,male,fully_vaccinated,0,5,303757,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,male,partially_vaccinated,2,33,199045,1,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,male,not_vaccinated,23,232,3819165,0.6,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,male,unknown,16,275,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,unknown,fully_vaccinated,0,0,82,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,unknown,partially_vaccinated,0,0,114,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202114,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202115,female,fully_vaccinated,2,10,444614,0.45,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202115,female,partially_vaccinated,1,33,302878,0.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202115,female,not_vaccinated,6,179,3639896,0.16,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
